;floor;price;operation;size;exterior;rooms;bathrooms;latitude;longitude;newDevelopment;hasLift;topNewDevelopment;isParkingSpaceIncludedInPrice;numero_bancos_cercanos;numero_starbucks_cercanos;numero_atractivos_cercanos;numero_buenasmigas_cercanos;numero_clubesnocturnos_cercanos;numero_mcdonalds_cercanos;numero_metro_cercanos;numero_parking_cercanos;numero_parkingbici_cercanos;numero_parques_cercanos;numero_playas_cercanos;numero_santagloria_cercanos;numero_vivari_cercanos;num_airbnbs_500;media_precios_airbnbs_500;log_price;price_m2;log_price_m2;propertyType_chalet;propertyType_duplex;propertyType_flat;propertyType_penthouse;status_good;status_newdevelopment;num_airbnbs_500_mas_de_cero;media_precios_airbnbs_500_mas_de_cero;numero_bancos_cercanos_mas_de_cero;numero_starbucks_cercanos_mas_de_cero;numero_atractivos_cercanos_mas_de_cero;numero_buenasmigas_cercanos_mas_de_cero;numero_clubesnocturnos_cercanos_mas_de_cero;numero_mcdonalds_cercanos_mas_de_cero;numero_metro_cercanos_mas_de_cero;numero_parking_cercanos_mas_de_cero;numero_parkingbici_cercanos_mas_de_cero;numero_parques_cercanos_mas_de_cero;numero_playas_cercanos_mas_de_cero;numero_santagloria_cercanos_mas_de_cero;numero_vivari_cercanos_mas_de_cero;district;neighborhood
54;0.5;2555;rent;92;1;3;2;413.780.561;21.593.196;0;1;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.458.075.026.378;277.717.391.304.348;332.401.892.558.876;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Eixample;Sant Antoni
55;3;2045;rent;54;1;2;2;413.866.199;2.173.459;0;1;0;1;19;1;0;2;1;0;0;0;0;0;0;0;1;1;50.314;76.231.530.684.769;378.703.703.703.704;363.416.902.191.263;0;0;1;0;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;1;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera
56;1;6900;rent;195;1;4;3;413.932.977;21.606.079;0;1;0;1;22;1;0;0;0;0;0;0;1;0;0;0;0;0;0;883.927.669.058.535;353.846.153.846.154;35.662.771.320.216;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;Eixample;La Dreta de l'Eixample
57;9;1990;rent;107;1;4;2;414.004.456;21.464.234;0;1;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;759.588.991.771.854;185.981.308.411.215;292.306.108.325.663;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Sarri������-Sant Ge;Sant Gervasi - Galvany
58;5;1600;rent;60;1;1;1;413.745.426;21.676.222;0;1;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;737.775.890.822.787;266.666.666.666.667;328.341.434.600.577;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Eixample;Sant Antoni
59;1;3900;rent;234;1;6;3;413.938.187;21.605.155;0;1;0;1;22;1;0;0;0;0;0;0;1;0;0;0;0;0;0;826.873.183.211.774;166.666.666.666.667;281.341.071.676.004;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;Eixample;La Dreta de l'Eixample
60;0;2500;rent;120;1;3;2;413.792.847;2.151.303;0;1;0;0;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;782.404.601.085.629;208.333.333.333.333;303.655.426.807.425;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;Eixample;La Nova Esquerra de l'Eixample
61;1;4000;rent;150;1;3;2;413.826.596;21.847.096;0;1;0;0;9;0;0;0;0;1;0;0;0;0;0;0;0;0;0;829.404.964.010.203;266.666.666.666.667;328.341.434.600.577;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera
62;0;2020;rent;73;1;1;2;413.893.595;21.797.073;0;1;0;0;7;1;0;1;1;0;0;0;0;0;0;0;0;1;50.314;761.085.279.039.525;276.712.328.767.123;332.039.334.924.686;0;0;1;0;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;Eixample;La Dreta de l'Eixample
63;2;1600;rent;60;1;1;1;413.905.789;21.653.124;0;1;0;1;21;0;1;0;0;0;0;0;0;0;0;0;0;0;0;737.775.890.822.787;266.666.666.666.667;328.341.434.600.577;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;Eixample;La Dreta de l'Eixample
64;0;2490;rent;97;1;2;2;413.845.495;21.815.146;0;1;0;1;10;1;0;1;0;1;0;0;0;0;0;0;0;0;0;782.003.798.945.875;256.701.030.927.835;324.532.701.095.537;0;0;1;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera
65;3;2900;rent;64;1;2;1;41.394.662;21.265.994;0;1;0;0;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;797.246.601.597.457;453.125;381.358.293.261.489;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;Sarri������-Sant Ge;Sarri�
66;7;9000;rent;187;1;3;2;413.974.904;21.182.577;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;910.497.985.631.836;481.283.422.459.893;387.387.123.946.377;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;Sarri������-Sant Ge;Sarri�
