index,Fecha extraccion,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,status,newDevelopment,hasLift,topNewDevelopment,isParkingSpaceIncludedInPrice,ParkingSpacePrice,distancia_minima_banco,banco_mas_cercano,numero_bancos_cercanos,distancia_minima_starbucks,starbucks_mas_cercano,numero_starbucks_cercanos,distancia_minima_atractivos,atractivos_mas_cercano,numero_atractivos_cercanos,distancia_minima_buenasmigas,buenasmigas_mas_cercano,numero_buenasmigas_cercanos,distancia_minima_clubesnocturnos,clubesnocturnos_mas_cercano,numero_clubesnocturnos_cercanos,distancia_minima_mcdonalds,mcdonalds_mas_cercano,numero_mcdonalds_cercanos,distancia_minima_metro,metro_mas_cercano,numero_metro_cercanos,distancia_minima_parking,parking_mas_cercano,numero_parking_cercanos,distancia_minima_parkingbici,parkingbici_mas_cercano,numero_parkingbici_cercanos,distancia_minima_parques,parques_mas_cercano,numero_parques_cercanos,distancia_minima_playas,playas_mas_cercano,numero_playas_cercanos,distancia_minima_santagloria,santagloria_mas_cercano,numero_santagloria_cercanos,distancia_minima_vivari,vivari_mas_cercano,numero_vivari_cercanos,num_airbnbs_500,media_precios_airbnbs_500,cluster,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23
14078,3072024,4,2850,flat,rent,96.0,1.0,4.0,2.0,calle de los Castillejos,Barcelona,Barcelona,Eixample,es,La Sagrada Família,41.4039832,2.1830918,good,0.0,True,False,,,120.9835936072844,bank,3,2133.77227707586,Starbucks,0,2205.649675570231,tourism,0,1705.66982324835,Buenas Migas,0,1774.352314974214,nightclub,0,813.6273213632733,McDonald's,0,4562.242067715159,metro_station,0,2896.691075120902,parking,0,2327.79555704234,bicycle_parking,0,2821.499469880118,park,0,2505.611542445321,beach,0,1612.422698711436,Santagloria,0,1051.478710713028,Vivari,0,0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14079,3072024,en,3300,flat,rent,99.0,1.0,3.0,2.0,calle de Lepant,Barcelona,Barcelona,Eixample,es,La Sagrada Família,41.4045833,2.1766147,good,0.0,True,False,,,20.77147318259346,bank,11,1710.34370520881,Starbucks,0,1971.94847683095,tourism,0,1634.149048592626,Buenas Migas,0,1682.461454532482,nightclub,0,284.8298620176336,McDonald's,1,4027.271137301621,metro_station,0,2438.821213738236,parking,0,1876.839678063964,bicycle_parking,0,3323.698675338228,park,0,2840.85722424583,beach,0,1294.820412048723,Santagloria,0,1142.913529109829,Vivari,0,1,192.108,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14080,3072024,2,3500,flat,rent,140.0,1.0,4.0,2.0, Avenida de Gaudí                        ,Barcelona,Barcelona,Eixample,es,La Sagrada Família,41.402911,2.1734495,good,0.0,True,False,,,99.4883777547106,bank,13,1387.057379933544,Starbucks,0,1698.17902105425,tourism,0,1446.793589258547,Buenas Migas,0,1482.401872752267,nightclub,0,100.8300933168961,McDonald's,1,3847.031686396173,metro_station,0,2117.373373228779,parking,0,1554.173154800593,bicycle_parking,0,3627.493311609434,park,0,2860.975629583455,beach,0,1001.436576776375,Santagloria,0,1084.461064961954,Vivari,0,4,146.5967,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14081,3072024,2,935,flat,rent,74.0,1.0,3.0,1.0,La Llagosta,Barcelona,La Llagosta,0,es,0,41.514051,2.1936908,good,0.0,True,False,,,6056.017069217863,bank,0,11752.37236975098,Starbucks,0,9668.646194956333,tourism,0,13874.82082667551,Buenas Migas,0,13618.12652493343,nightclub,0,12360.16498866355,McDonald's,0,12014.22725900182,metro_station,0,5891.098341046551,parking,0,13487.13443209529,bicycle_parking,0,7217.504275003321,park,0,12252.55626513406,beach,0,13269.12462473975,Santagloria,0,9926.629438279715,Vivari,0,0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14082,3072024,bj,715,flat,rent,38.0,1.0,1.0,1.0,barrio La Cogullada,Barcelona,Terrassa,La Cogullada,es,La Cogullada,41.5527594,2.0004698,good,0.0,True,False,,,11502.72008157674,bank,0,21233.77649988662,Starbucks,0,19087.92498972277,tourism,0,21430.61817474887,Buenas Migas,0,21581.14301390056,nightclub,0,21958.53176996698,McDonald's,0,17655.34579897323,metro_station,0,19110.75013301511,parking,0,21663.47331985184,bicycle_parking,0,19928.37129734983,park,0,24551.47482093888,beach,0,19592.96365545402,Santagloria,0,20225.24992214894,Vivari,0,0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14083,3072024,2,855,duplex,rent,57.0,1.0,2.0,1.0,barrio La Cogullada,Barcelona,Terrassa,La Cogullada,es,La Cogullada,41.5539946,2.0023726,good,0.0,True,False,,,11527.01289370954,bank,0,21265.68852743533,Starbucks,0,19115.42639912929,tourism,0,21464.12589226836,Buenas Migas,0,21599.79717994611,nightclub,0,21958.27605224004,McDonald's,0,17680.43426790773,metro_station,0,19050.51116694227,parking,0,21683.34860619163,bicycle_parking,0,19878.89877747931,park,0,24525.12021905737,beach,0,19629.89944877386,Santagloria,0,20207.82872288163,Vivari,0,0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14084,3072024,2,980,duplex,rent,70.0,1.0,3.0,1.0,barrio La Cogullada,Barcelona,Terrassa,La Cogullada,es,La Cogullada,41.5535392,1.9995613,good,0.0,False,False,,,11617.08079530677,bank,0,21347.51142003715,Starbucks,0,19202.01649646496,tourism,0,21544.21350635036,Buenas Migas,0,21695.76566585009,nightclub,0,22073.621910627,McDonald's,0,17769.61112075179,metro_station,0,19221.05438389182,parking,0,21778.03337359819,bicycle_parking,0,20040.26413333681,park,0,24665.68585394836,beach,0,19706.2476246478,Santagloria,0,20339.95476541253,Vivari,0,0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14085,3072024,1,995,studio,rent,30.0,1.0,0.0,1.0,calle dels Jocs Florals,Barcelona,Barcelona,Sants-Montjuïc,es,La Bordeta,41.3689301,2.1347551,good,0.0,False,False,,,191.901435938333,bank,9,2476.174662125565,Starbucks,0,3255.325772929523,tourism,0,1366.958161777681,Buenas Migas,0,2388.517865696634,nightclub,0,1430.218570359555,McDonald's,0,445.418738955778,metro_station,1,2235.860638761787,parking,0,2478.437733605581,bicycle_parking,0,503.8974607802761,park,0,5402.493152605183,beach,0,2125.547291336966,Santagloria,0,532.9208828166065,Vivari,0,0,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14086,3072024,5,3000,flat,rent,33.0,1.0,1.0,2.0,barrio La Barceloneta,Barcelona,Barcelona,Ciutat Vella,es,La Barceloneta,41.3751171,2.1886188,good,0.0,True,False,,,372.7905791398821,bank,2,1479.992595523714,Starbucks,0,1389.048104582531,amenity,0,1351.327832948631,Buenas Migas,0,2020.660183417217,nightclub,0,450.1815329845082,McDonald's,1,4458.896385370709,metro_station,0,3254.133319671008,parking,0,1884.98588309117,bicycle_parking,0,3987.218271459124,park,0,1150.750230360778,beach,0,2781.620027210496,Santagloria,0,2174.636874106726,Vivari,0,0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14087,3072024,4,950,flat,rent,33.0,1.0,1.0,1.0,barrio La Barceloneta,Barcelona,Barcelona,Ciutat Vella,es,La Barceloneta,41.3786345,2.1890444,good,0.0,True,False,,,69.55660443529896,bank,4,1236.698736214402,Starbucks,0,1318.056853181476,amenity,0,1137.161172033585,Buenas Migas,0,1752.222212394816,nightclub,0,538.5062478792673,McDonald's,0,4506.386536666708,metro_station,0,3186.063509650237,parking,0,1837.95224209499,bicycle_parking,0,4083.038418885782,park,0,827.9915919939782,beach,0,2510.389896942287,Santagloria,0,1914.124584322561,Vivari,0,1,32.018,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
