Unnamed: 0,floor,price,operation,size,exterior,rooms,bathrooms,latitude,longitude,newDevelopment,hasLift,topNewDevelopment,isParkingSpaceIncludedInPrice,numero_bancos_cercanos,numero_starbucks_cercanos,numero_atractivos_cercanos,numero_buenasmigas_cercanos,numero_clubesnocturnos_cercanos,numero_mcdonalds_cercanos,numero_metro_cercanos,numero_parking_cercanos,numero_parkingbici_cercanos,numero_parques_cercanos,numero_playas_cercanos,numero_santagloria_cercanos,numero_vivari_cercanos,num_airbnbs_500,media_precios_airbnbs_500,log_price,price_m2,log_price_m2,propertyType_chalet,propertyType_duplex,propertyType_flat,propertyType_penthouse,status_good,status_newdevelopment,num_airbnbs_500_mas_de_cero,media_precios_airbnbs_500_mas_de_cero,numero_bancos_cercanos_mas_de_cero,numero_starbucks_cercanos_mas_de_cero,numero_atractivos_cercanos_mas_de_cero,numero_buenasmigas_cercanos_mas_de_cero,numero_clubesnocturnos_cercanos_mas_de_cero,numero_mcdonalds_cercanos_mas_de_cero,numero_metro_cercanos_mas_de_cero,numero_parking_cercanos_mas_de_cero,numero_parkingbici_cercanos_mas_de_cero,numero_parques_cercanos_mas_de_cero,numero_playas_cercanos_mas_de_cero,numero_santagloria_cercanos_mas_de_cero,numero_vivari_cercanos_mas_de_cero,cluster,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23
21,0.0,6600.0,rent,259.0,1,6,5,41.4031836,2.1340293,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,8.79482492801452,25.4826254826255,3.23799686631498,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,5.0,4500.0,rent,254.0,1,4,3,41.3972484,2.1436452,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.41183267575841,17.7165354330709,2.87449840873987,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,0.0,2800.0,rent,70.0,1,2,3,41.3780317,2.159419,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.9373746961633,40.0,3.68887945411394,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,3900.0,rent,208.0,1,3,2,41.4117993,2.1560121,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.26873183211774,18.75,2.93119375241642,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,0.0,3900.0,rent,310.0,1,3,3,41.4126925,2.159778,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.26873183211774,12.5806451612903,2.53215953463855,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,4900.0,rent,188.0,1,4,3,41.3899698,2.1310282,0,1,0,0,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,8.49699048409872,26.063829787234,3.26054852126877,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,9.0,4900.0,rent,179.0,1,4,3,41.3918784,2.1315078,0,1,0,0,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,8.49699048409872,27.3743016759777,3.30960467825796,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2.0,2275.0,rent,50.0,1,1,1,41.3954189,2.1691955,0,1,0,1,23,0,0,0,0,0,0,0,0,0,0,1,0,2,127.1572,7.72973533138505,45.5,3.8177123259569,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,1500.0,rent,136.0,0,1,1,41.3810866,2.1679114,0,1,0,0,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0,7.3132203870903,11.0294117647059,2.40056550135425,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,9.0,4900.0,rent,350.0,1,4,3,41.3894264,2.1303834,0,1,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,8.49699048409872,14.0,2.63905732961526,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
