,floor,price,size,rooms,bathrooms,latitude,longitude,showAddress,hasLift,num_bancos_500,num_starbucks_500,num_atractivos_500,num_buenasmigas_500,num_clubesnocturnos_500,num_mcdonalds_500,num_metro_500,num_parking_500,num_parkingbici_500,num_parques_500,num_santagloria_500,num_vivari_500,num_airbnbs_500,status_newdevelopment,status_renew,newDevelopment_True,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio
3980,0.0,5000.0,0.11077844311377245,0.1,0.2,41.4023088,2.136599,0,0,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.05813953488372093,0.05813953488372093,0.30434782608695654,1.0,0.0,0.09052504526252263,0,0,0,0,0,1,0
3981,0.0,8791.0,0.15089820359281436,0.125,0.3,41.4129813,2.1243035,0,0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.08139534883720931,0.08139534883720931,0.043478260869565216,0.0,0.0,0.0012070006035003018,0,0,0,0,1,0,0
3982,0.14285714285714285,1500.0,0.0281437125748503,0.025,0.1,41.3826732,2.1671223,0,0,0.26666666666666666,0.5,0.5,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.11904761904761904,0.08139534883720931,0.08139534883720931,0.34782608695652173,0.0,0.0,0.7821363910681955,0,0,0,0,1,0,0
3983,0.14285714285714285,1450.0,0.03293413173652695,0.075,0.1,41.3793067,2.177232,0,0,0.36666666666666664,0.16666666666666666,0.5294117647058824,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.047619047619047616,0.08139534883720931,0.08139534883720931,0.043478260869565216,0.0,0.0,0.7229933614966807,0,0,0,0,1,0,0
3984,0.0,3000.0,0.059880239520958084,0.1,0.3,41.4120339,2.1454148,0,0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.03488372093023256,0.03488372093023256,0.5217391304347826,0.0,0.0,0.07362703681351841,0,0,0,0,0,0,0
3985,0.07142857142857142,1535.0,0.038922155688622756,0.05,0.1,41.4252853,2.1933687,1,1,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.13953488372093023,0.13953488372093023,0.34782608695652173,0.0,0.0,0.01931200965600483,0,0,0,0,1,0,0
3988,0.0,2160.0,0.041916167664670656,0.05,0.1,41.4048353,2.1994715,0,0,0.3,0.0,0.08823529411764706,0.0,0.0,0.0,0.07142857142857142,0.03488372093023256,0.03488372093023256,0.6956521739130435,0.0,0.0,0.09414604707302354,0,0,0,0,1,0,0
3989,0.07142857142857142,2000.0,0.0281437125748503,0.0,0.1,41.3799752,2.1672669,0,0,0.2,0.0,0.38235294117647056,0.3333333333333333,0.0,0.0,0.023809523809523808,0.09302325581395349,0.09302325581395349,0.43478260869565216,0.0,0.0,0.6904043452021726,0,0,0,0,0,0,1
3990,0.0,1800.0,0.014970059880239521,0.0,0.1,41.3743338,2.1358567,1,0,0.5,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.03488372093023256,0.03488372093023256,0.30434782608695654,0.0,0.0,0.1732045866022933,0,0,0,0,0,0,1
3991,0.07142857142857142,1184.0,0.029940119760479042,0.025,0.1,41.3768446,2.1707956,0,0,0.3,0.0,0.14705882352941177,0.0,0.7777777777777778,0.6666666666666666,0.09523809523809523,0.12790697674418605,0.12790697674418605,0.2608695652173913,0.0,0.0,0.6451418225709112,0,0,0,0,1,0,0
3992,0.14285714285714285,1450.0,0.023952095808383235,0.0,0.1,41.4084545,2.1830542,0,1,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.06976744186046512,0.06976744186046512,0.13043478260869565,0.0,0.4,0.248038624019312,0,0,0,0,0,0,1
3993,0.0,2915.0,0.04431137724550898,0.05,0.2,41.3974988,2.1965604,1,1,0.03333333333333333,0.0,0.029411764705882353,0.0,0.5555555555555556,0.0,0.047619047619047616,0.011627906976744186,0.011627906976744186,0.21739130434782608,0.0,0.0,0.0995775497887749,0,0,0,0,1,0,0
3994,0.0,2190.0,0.059880239520958084,0.05,0.2,41.408228,2.134531,0,0,0.36666666666666664,0.0,0.029411764705882353,0.3333333333333333,0.0,0.0,0.09523809523809523,0.12790697674418605,0.12790697674418605,0.43478260869565216,0.0,0.2,0.03741701870850935,0,0,0,0,1,0,0
3995,0.07142857142857142,1300.0,0.02694610778443114,0.025,0.1,41.3790666,2.1860959,0,1,0.13333333333333333,0.0,0.08823529411764706,0.0,0.2222222222222222,0.6666666666666666,0.023809523809523808,0.10465116279069768,0.10465116279069768,0.08695652173913043,0.0,0.0,0.3083886541943271,0,0,0,0,1,0,0
3996,0.42857142857142855,1395.0,0.024550898203592814,0.025,0.1,41.4064406,2.1683763,1,1,0.3333333333333333,0.0,0.029411764705882353,0.0,0.1111111111111111,0.0,0.023809523809523808,0.10465116279069768,0.10465116279069768,0.30434782608695654,0.0,0.2,0.34339167169583584,0,0,0,0,0,1,0
3997,0.14285714285714285,1350.0,0.023952095808383235,0.025,0.1,41.3754984,2.1683292,0,1,0.26666666666666666,0.0,0.08823529411764706,0.0,0.4444444444444444,0.3333333333333333,0.07142857142857142,0.10465116279069768,0.10465116279069768,0.30434782608695654,0.0,0.2,0.6348823174411587,0,0,0,0,1,0,0
3998,0.0,2190.0,0.04790419161676647,0.075,0.1,41.4000705,2.1464552,0,1,0.3333333333333333,0.0,0.029411764705882353,0.0,0.1111111111111111,0.0,0.11904761904761904,0.3488372093023256,0.3488372093023256,0.13043478260869565,0.0,0.0,0.18648159324079663,0,0,0,0,1,0,0
3999,0.07142857142857142,1200.0,0.029940119760479042,0.05,0.1,41.3716747,2.1671774,0,1,0.2,0.0,0.058823529411764705,0.0,0.3333333333333333,0.3333333333333333,0.09523809523809523,0.06976744186046512,0.06976744186046512,0.2608695652173913,0.0,0.2,0.3633071816535908,0,0,0,0,1,0,0
