"id";"price";"accommodation_type";"latitude";"longitude";"precio_euro"
343972;NA;"Private room";41.37184;2.14799;NA
345129;70;"Private room";41.38512;2.17129;64.036
642491;109;"Entire place";41.37606;2.12222;99.7132
493122;59;"Private room";41.4016;2.19424;53.9732
494834;141;"Entire place";41.41011;2.16976;128.9868
644534;35;"Private room";41.38083;2.15674;32.018
645513;140;"Entire place";41.39698;2.19963;128.072
648112;NA;"Private room";41.38107;2.14446;NA
652294;NA;"Private room";41.38602;2.14419;NA
656990;95;"Private room";41.40235;2.14709;86.906
346018;300;"Private room";41.3922;2.18805;274.44
347824;250;"Entire place";41.3764;2.19102;228.7
496997;204;"Entire place";41.3888;2.15898;186.6192
351395;177;"Entire place";41.39271;2.17974;161.9196
352772;133;"Entire place";41.38184;2.15119;121.6684
659469;125;"Entire place";41.40286;2.19615;114.35
662879;150;"Entire place";41.37335;2.15589;137.22
497545;195;"Entire place";41.3888;2.15898;178.386
663096;390;"Entire place";41.39025;2.16474;356.772
663655;840;"Entire place";41.39224;2.16719;768.432
663732;NA;"Private room";41.38697;2.17781;NA
667177;162;"Entire place";41.40062;2.18952;148.1976
353640;NA;"Entire place";41.38422;2.18412;NA
357576;183;"Entire place";41.40508;2.15491;167.4084
359841;113;"Entire place";41.40502;2.20802;103.3724
703973;NA;"Entire place";41.39755;2.16887;NA
667248;NA;"Private room";41.39031;2.17563;NA
498416;34;"Entire place";41.38355;2.17156;31.1032
670782;81;"Entire place";41.3773;2.16308;74.0988
703978;300;"Entire place";41.39874;2.16951;274.44
703984;NA;"Entire place";41.39862;2.16903;NA
670956;NA;"Private room";41.39944;2.20678;NA
502436;120;"Entire place";41.37948;2.17666;109.776
671458;120;"Entire place";41.37353;2.16131;109.776
715036;99;"Entire place";41.37455;2.16669;90.5652
721378;292;"Entire place";41.39884;2.17697;267.1216
721470;190;"Entire place";41.39884;2.17697;173.812
672728;158;"Entire place";41.3993;2.17608;144.5384
503765;181;"Entire place";41.39795;2.17166;165.5788
677012;NA;"Private room";41.40853;2.1493;NA
679965;39;"Private room";41.40194;2.20217;35.6772
721471;201;"Entire place";41.39786;2.17583;183.8748
721473;212;"Entire place";41.39884;2.17697;193.9376
