"type","longitude","latitude"
"tourism",2.14935499378955,41.3714752825994
"tourism",2.06467814131441,41.3560415148909
"tourism",2.13735938838821,41.4106167926879
"amenity",2.1142801132147,41.4555457234987
"tourism",2.14561286635472,41.4400150786729
"tourism",2.1005452,41.4674223
"tourism",2.13140963932506,41.4141381778299
"tourism",2.16954349654839,41.3999198869682
"tourism",2.19257522045784,41.3837943958498
"tourism",2.1772306,41.3833749
"tourism",2.13159861246725,41.4125441672315
"tourism",2.16360723980507,41.3916816133207
"tourism",2.1752683,41.3834643
"amenity",2.16521896513216,41.4241583713584
"tourism",2.13980818506034,41.4247606405749
"tourism",2.08686706836965,41.3788354472821
"historic",2.1743733841515,41.4150219990153
"tourism",2.06808144318731,41.3808921234242
"tourism",2.170446990559,41.4159710177469
"tourism",2.0942806,41.3220001
"tourism",2.0876773,41.3175658
"tourism",2.1655803831266,41.383682644364
"tourism",2.1289757,41.3865788
"tourism",2.18436514490354,41.3871314956639
"tourism",2.12281379043915,41.3808852604125
"amenity",2.158477,41.3754483
"amenity",2.15173862440926,41.3711573107393
"tourism",2.14838113277283,41.3779665714674
"tourism",2.1804656,41.3850115
"tourism",2.16676618624168,41.3831053392351
"tourism",2.22105219051436,41.4111252359373
"tourism",2.17741921779013,41.3841339211638
"amenity",2.17522576673929,41.3875853024754
"tourism",2.1806453621145,41.3910418249594
"tourism",2.1666274,41.3714368
"tourism",2.17332615104108,41.3814460190522
"tourism",2.17215824091867,41.3842421668232
"tourism",2.2015252,41.4083519
"tourism",2.0851564,41.3573404
"tourism",2.1484220906981,41.3687206762196
"tourism",2.1732114,41.3706564
"tourism",2.1745421,41.3844759
"tourism",2.1653221,41.3913658
"tourism",2.1662636,41.3841795
"tourism",2.15361591842913,41.3683639984147
"tourism",2.0880976,41.456277
"tourism",2.09279137972092,41.4591885048604
"tourism",2.17674035139384,41.3844259783758
"tourism",2.1742612,41.4031293
"tourism",2.0873975,41.3667166
"tourism",2.176197,41.3845639
"tourism",2.1542471,41.411973
"tourism",2.1523035,41.3660592
"tourism",2.1560573,41.4040737
"tourism",2.1681808,41.3783414
"tourism",2.1559313,41.3531369
"tourism",2.1725665,41.382243
"tourism",2.1481907,41.393093
"tourism",2.1521992,41.413893
"tourism",2.1520705,41.413648
"tourism",2.1530402,41.414055
"tourism",2.1484798,41.3686387
"tourism",2.1846465,41.3814588
"tourism",2.1744901,41.4005883
"tourism",2.1738805,41.3884888
"tourism",2.1906233,41.4415407
"tourism",2.1698409,41.3828465
"tourism",2.1530982,41.3946333
"tourism",2.2076933,41.458354
"tourism",2.18335559523819,41.4274906327877
"amenity",2.18203107046423,41.3838131501274
"tourism",2.1785862181533,41.4516574804454
"tourism",2.1836707,41.3881207
"tourism",2.1206365,41.38039
"tourism",2.16733348444855,41.3946149365924
"tourism",2.1660516,41.3827782
"tourism",2.1829435,41.3863306
"tourism",2.180624,41.3888034
"tourism",2.170673,41.3808292
"tourism",2.12080285685567,41.3802773281314
"tourism",2.1876853,41.3891155
"tourism",2.191494,41.3867216
"tourism",2.1915731,41.3866795
"tourism",2.1810008,41.3847951
"amenity",2.17896560328719,41.3895144286082
"tourism",2.20938826695064,41.4469860449995
"tourism",2.1915835,41.3949873
"tourism",2.1870468,41.3819385
"tourism",2.1760031,41.3826234
"tourism",2.1753677,41.3825661
"tourism",2.1768433,41.3811467
"tourism",2.1634251,41.38922
"tourism",2.17315308273146,41.3908008967557
"tourism",2.16601165098925,41.36335969624
"tourism",2.09554178152836,41.3588812765683
"tourism",2.183445,41.388119
"amenity",2.17393389632983,41.3820438401945
"tourism",2.1647396,41.3936228
"tourism",2.18921670849346,41.4544967368177
