"amenity","longitude","latitude"
"bank",2.1381684,41.4113838
"bank",2.1382796,41.4108881
"bank",2.1380964,41.4110636
"bank",2.2083679,41.4072814
"bank",2.2019513,41.4346389
"bank",2.2056213,41.436369
"bank",2.2058414,41.4363787
"bank",2.1742993,41.3825323
"bank",2.1687535,41.400412
"bank",2.1664622,41.4013059
"bank",2.1647692,41.4025856
"bank",2.1635858,41.4034022
"bank",2.1720118,41.4023748
"bank",2.1533512,41.4018329
"bank",2.1715844,41.3809162
"bank",2.1744276,41.3795383
"bank",2.1630005,41.4155514
"bank",2.1581581,41.4073689
"bank",2.1587508,41.4077184
"bank",2.1614526,41.4136187
"bank",2.1616455,41.413333
"bank",2.1618549,41.4130632
"bank",2.1614453,41.4131724
"bank",2.16053,41.4116849
"bank",2.2141897,41.4465201
"bank",2.2036597,41.4091346
"bank",2.2068497,41.41534
"bank",2.1988597,41.413223
"bank",2.2060052,41.4008262
"bank",2.2027398,41.3995802
"bank",2.1882482,41.4076944
"bank",2.1875245,41.4069368
"bank",2.1897449,41.4112068
"bank",2.2258001,41.4418556
"bank",2.17609457732757,41.3854666638583
"bank",2.0828421,41.3629071
"bank",2.1874848,41.4208171
"bank",2.1872963,41.4204687
"bank",2.1747544,41.3843727
"bank",2.0851153,41.3736912
"bank",2.0838492,41.3723064
"bank",2.0838492,41.3721072
"bank",2.0864859,41.3725419
"bank",2.0854883,41.3775633
"bank",2.0866605,41.3773912
"bank",2.0866673,41.3753402
"bank",2.087786,41.3765607
"bank",2.0834964,41.3753611
"bank",2.1939651,41.3909874
"bank",2.1697363,41.3863895
"bank",2.0836194,41.3765389
"bank",2.1596088,41.3915078
"bank",2.1519775,41.3942379
"bank",2.1507661,41.3945755
"bank",2.140754,41.3921295
"bank",2.1403364,41.3920229
"bank",2.1676591,41.3973264
"bank",2.0991455,41.3592361
"bank",2.1014613,41.3607182
"bank",2.1016797,41.3608426
"bank",2.0829939,41.4678996
"bank",2.0820792,41.467468
"bank",2.2052473,41.4521116
"bank",2.1520431,41.3855097
"bank",2.0716678,41.3552985
"bank",2.0788708,41.3601295
"bank",2.1734678,41.3888064
"bank",2.0777418,41.358688
"bank",2.2131585,41.4047494
"bank",2.0810944,41.3210016
"bank",2.1247277,41.4015716
"bank",2.1717602,41.4065277
"bank",2.1747194,41.3959253
"bank",2.1750558,41.3956514
"bank",2.1749133,41.3957017
"bank",2.1720479,41.4064614
"bank",2.1633212,41.4074534
"bank",2.1307742,41.3926287
"bank",2.1272171,41.3980087
"bank",2.1755352,41.3942312
"bank",2.1789481,41.397068
"bank",2.1872169,41.393635
"bank",2.1886246,41.3930889
"bank",2.1790005,41.3926464
"bank",2.1772375,41.3940249
"bank",2.1937076,41.413363
"bank",2.138976,41.3764743
"bank",2.1901701,41.392909
"bank",2.1559824,41.4230074
"bank",2.1559906,41.4228023
"bank",2.1145051,41.3316248
"bank",2.1147858,41.3313146
"bank",2.1141371,41.3311647
"bank",2.1137658,41.3769388
"bank",2.1317191,41.3682543
"bank",2.1317073,41.3681823
"bank",2.1329586,41.3700044
"bank",2.1629793,41.379116
"bank",2.1004284,41.3629959
"bank",2.1732555,41.3883004
"bank",2.1744294,41.387715
"bank",2.1659588,41.3934744
"bank",2.1733429,41.3814139
"bank",2.1757155,41.3816595
"bank",2.1766724,41.3822128
"bank",2.1775074,41.3826687
"bank",2.169076,41.3883669
"bank",2.1660469,41.3933972
"bank",2.1670845,41.395987
"bank",2.1684808,41.3969424
"bank",2.1732039,41.4037875
"bank",2.1792215,41.3893573
"bank",2.1813472,41.3953412
"bank",2.1511479,41.4082974
"bank",2.1515648,41.4084709
"bank",2.1537859,41.4088788
"bank",2.1510642,41.3969131
"bank",2.1596237,41.3969399
"bank",2.1234923,41.3763183
"bank",2.1438521,41.3879943
"bank",2.1421897,41.4037505
"bank",2.1305083,41.4042669
"bank",2.1731817,41.4016271
"bank",2.1625144,41.3752004
"bank",2.1265151,41.4025715
"bank",2.13222,41.4044772
"bank",2.1296773,41.4043651
"bank",2.131647,41.4054882
"bank",2.1801868,41.4164986
"bank",2.1778266,41.3986258
"bank",2.174909,41.3972454
"bank",2.1797115,41.4212938
"bank",2.1805893,41.4196687
"bank",2.180264,41.417738
"bank",2.1798819,41.4156016
"bank",2.1776456,41.4239943
"bank",2.1753291,41.3901049
"bank",2.1768623,41.3903166
"bank",2.1660866,41.4052153
"bank",2.1822977,41.4048938
"bank",2.1806305,41.4145392
"bank",2.1818445,41.4189724
"bank",2.1666108,41.375191
"bank",2.1282494,41.3810939
"bank",2.1294269,41.3834678
