"type","longitude","latitude"
"metro_station",2.1655057,41.4121009
"metro_station",2.0915526,41.4273141
"metro_station",2.1114034,41.4090443
"metro_station",2.1588888,41.3824863
"metro_station",2.1862682,41.3949958
"metro_station",2.1875183,41.4022111
"metro_station",2.1869379,41.4160445
"metro_station",2.1911382,41.4366293
"metro_station",2.1937366,41.4487676
"metro_station",2.1693908,41.3749142
"metro_station",2.1693278,41.375133
"metro_station",2.1640533,41.3848285
"metro_station",2.1867259,41.4102828
"metro_station",2.2051956,41.4236829
"metro_station",2.182423,41.4492053
"metro_station",2.1116655,41.3841003
"metro_station",2.1681937,41.399772
"metro_station",2.1423965,41.4249128
"metro_station",2.1251579,41.3571111
"metro_station",2.158857,41.3944431
"metro_station",2.1803643,41.4616962
"metro_station",2.1804838,41.4615457
"metro_station",2.1804057,41.4615122
"metro_station",2.1802838,41.4616645
"metro_station",2.1832747,41.4309786
"metro_station",2.1830093,41.4308338
"metro_station",2.1832046,41.4308418
"metro_station",2.1679788,41.389989
"metro_station",2.1679895,41.3899796
"metro_station",2.1678635,41.3899093
"metro_station",2.1678571,41.3899151
"metro_station",2.1678527,41.3899185
"metro_station",2.1690172,41.3874038
"metro_station",2.1690362,41.3874779
"metro_station",2.1690624,41.3874388
"metro_station",2.1690316,41.3874849
"metro_station",2.1690284,41.3873907
"metro_station",2.1689776,41.3874646
"metro_station",2.1690792,41.3874136
"metro_station",2.1690683,41.38743
"metro_station",2.1682772,41.3894431
"metro_station",2.1854688,41.3842865
"metro_station",2.0892588,41.330888
"metro_station",2.1154078,41.3540138
"metro_station",2.1421622,41.3558512
"metro_station",2.1386556,41.3604566
"metro_station",2.1829242,41.4310883
"metro_station",2.1829432,41.4308311
"metro_station",2.1832836,41.4308451
"metro_station",2.1832857,41.4308471
"metro_station",2.1829407,41.4308327
"metro_station",2.1829215,41.4310863
"metro_station",2.1242931,41.3613875
"metro_station",2.1330085,41.3632435
"metro_station",2.1938816,41.4362394
"metro_station",2.1874108,41.4090696
"metro_station",2.0705574,41.3575183
"metro_station",2.1083034,41.4005798
"metro_station",2.0844154,41.356732
"metro_station",2.1650763,41.3917373
"metro_station",2.1651872,41.3918154
"metro_station",2.1652323,41.3917788
"metro_station",2.165121,41.3917013
"metro_station",2.1650164,41.3919539
"metro_station",2.1657865,41.3913291
"metro_station",2.1657584,41.3913075
"metro_station",2.1649899,41.3919361
"metro_station",2.1654814,41.3914046
"metro_station",2.1655302,41.3913653
"metro_station",2.1654855,41.3914075
"metro_station",2.1649036,41.3918765
"metro_station",2.1655361,41.3913695
"metro_station",2.1655655,41.3913457
"metro_station",2.1655441,41.3913308
"metro_station",2.1655643,41.3913145
"metro_station",2.1655832,41.3913277
"metro_station",2.1656359,41.3912852
"metro_station",2.1656461,41.3912923
"metro_station",2.1656867,41.3912596
"metro_station",2.165703,41.391271
"metro_station",2.1649294,41.3918945
"metro_station",2.0899463,41.3312758
"metro_station",2.1120352,41.3758955
"metro_station",2.1409009,41.3363124
"metro_station",2.1404838,41.3356366
"metro_station",2.1404332,41.335654
"metro_station",2.100942,41.3642387
"metro_station",2.0683322,41.4577151
"metro_station",2.0731985,41.4448629
"metro_station",2.0916602,41.4275098
"metro_station",2.0969165,41.4200755
"metro_station",2.1832678,41.4310615
"metro_station",2.1153256,41.355039
"metro_station",2.115955,41.3550168
"metro_station",2.115923,41.3548712
"metro_station",2.1153309,41.3549021
"metro_station",2.1153239,41.3548148
"metro_station",2.1152439,41.3548189
"metro_station",2.1152558,41.3549737
"metro_station",2.1153204,41.3549708
"metro_station",2.1161959,41.3550038
"metro_station",2.116192,41.3549467
"metro_station",2.1159307,41.3549597
"metro_station",2.1159294,41.3549447
"metro_station",2.1159793,41.3550155
