floor,price,size,rooms,bathrooms,latitude,longitude,hasLift,isParkingSpaceIncludedInPrice,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_newdevelopment,status_renew,newDevelopment_True,topNewDevelopment_True,exterior_True
0.04,0.045714285714285714,0.026217228464419477,0.075,0.0625,413881639,21825087,0,0,0,0,1,0,0,0,0,0,0,1
0.04,0.05714285714285714,0.033707865168539325,0.05,0.0625,413882822,21937557,1,1,0,0,1,0,0,0,0,0,0,1
0.0,0.17142857142857143,0.22134831460674156,0.15,0.3125,414926186,22886901,0,1,0,0,0,0,0,0,0,0,0,0
0.16,0.05142857142857143,0.0449438202247191,0.1,0.125,414032211,2141534,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.03428571428571429,0.04868913857677903,0.075,0.125,414209343,192135,0,0,0,0,0,0,0,0,0,0,0,0
0.04,0.06571428571428571,0.03258426966292135,0.05,0.125,413910212,21674037,1,0,0,0,1,0,0,0,0,0,0,1
0.28,0.06857142857142857,0.020973782771535582,0.025,0.0625,413802918,21621418,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.17142857142857143,0.09925093632958802,0.125,0.1875,412679344,20070981,0,1,0,0,0,0,0,0,0,0,0,0
0.0,0.06571428571428571,0.0299625468164794,0.05,0.125,41393666,21684143,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.17142857142857143,0.09925093632958802,0.125,0.1875,412667874,20074844,0,1,0,0,0,0,0,0,0,0,0,0
0.28,0.087,0.0299625468164794,0.025,0.0625,413851048,21668111,1,0,0,0,0,1,0,0,0,0,0,1
0.12,0.087,0.02846441947565543,0.05,0.125,413869283,2179287,1,1,0,0,1,0,0,0,0,0,0,1
0.16,0.07614285714285714,0.04119850187265917,0.05,0.125,413978121,21470122,1,0,0,0,1,0,0,0,0,0,0,1
0.24,0.102,0.028089887640449437,0.05,0.0625,413965921,21620924,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.06571428571428571,0.060674157303370786,0.1,0.125,41356038,20874851,1,1,0,0,0,1,0,0,0,0,0,1
0.04,0.06571428571428571,0.03745318352059925,0.075,0.125,413893523,21615001,1,0,0,0,1,0,0,0,0,0,0,1
0.2,0.03414285714285714,0.030337078651685393,0.05,0.0625,414129138,21408265,1,0,0,0,0,1,0,0,0,0,0,1
0.0,0.15714285714285714,0.09363295880149813,0.15,0.125,413956046,21755117,1,0,0,0,1,0,0,0,1,0,0,1
0.16,0.17,0.10486891385767791,0.125,0.3125,41393117,2140301,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.023142857142857142,0.02247191011235955,0.025,0.0625,416733664,22592967,1,0,0,0,1,0,0,0,0,0,0,1
0.2,0.020742857142857143,0.008239700374531835,0.0,0.0625,413843118,21458553,1,0,0,0,0,0,1,0,0,0,0,0
0.0,0.023142857142857142,0.02247191011235955,0.025,0.0625,416726144,22586337,1,0,0,0,1,0,0,0,0,0,0,1
0.2,0.03857142857142857,0.030711610486891385,0.075,0.0625,413758705,21729813,1,0,0,0,0,1,0,0,0,0,0,1
0.64,0.2,0.08239700374531835,0.1,0.125,414072569,22160698,1,1,0,0,1,0,0,0,0,0,0,1
0.0,0.07428571428571429,0.026217228464419477,0.05,0.125,413898388,21411584,1,1,0,0,1,0,0,0,0,0,0,1
